BookID,Book Name,Author,Publishing Year,Genre,Book Average Rating,Book Rating Count,Publisher 
201,The Art of Happiness: A Handbook for Living,"Dalai Lama XIV, Howard C. Cutler",1998,Self-Help and Instruction,4.14,61498,Random House LLC
202,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely,2007,Essays/Journalism,4.1,61496,"Amazon Digital Services,  Inc."
203,Hyperion,Dan Simmons,1989,Science Fiction,4.21,122225,"Amazon Digital Services,  Inc."
204,The Fall of Hyperion,Dan Simmons,1990,Science Fiction,4.18,63235,Simon and Schuster Digital Sales Inc
205,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,2013,Biography/Autobiography,4.32,113565,Hachette Book Group
206,"Thinking, Fast and Slow",Daniel Kahneman,2011,Self-Help & Instruction,4.08,136950,"Amazon Digital Services,  Inc."
207,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1992,Essays/Journalism,3.97,63304,Random House LLC
208,La Divina Commedia,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1308,Classics,4.06,74130,"Amazon Digital Services,  Inc."
209,Inferno,"Dante Alighieri, Anthony M. Esolen",1320,Classics,3.99,87511,Hachette Book Group
210,The Maltese Falcon,Dashiell Hammett,1930,Mystery,3.92,58742,Hachette Book Group
211,What Is the What: The Autobiography of Valentino Achak Deng,Dave Eggers,2006,Biography/Autobiography/Memoir,4.16,59333,Penguin Group (USA) LLC
212,Zeitoun,Dave Eggers,2008,Biography/Autobiography/Memoir,4.08,55398,"Amazon Digital Services,  Inc."
213,The Circle,Dave Eggers,2013,Science Fiction,3.46,109412,Penguin Group (USA) LLC
214,Getting Things Done: How To Achieve Stress-free Productivity,David Allen,2001,Self-Help and Instruction,3.98,75665,"Amazon Digital Services,  Inc."
215,Absolute Power,David Baldacci,1995,Thriller,4.15,72481,Macmillan
216,The Camel Club,David Baldacci,2005,Thriller,4.02,58973,"Amazon Digital Services,  Inc."
217,City of Thieves,David Benioff,2008,Historical Fiction,4.28,68063,HarperCollins Publishers
218,Magician's Gambit,David Eddings,1983,Fantasy,4.13,69616,"Amazon Digital Services,  Inc."
219,Enchanters' End Game,David Eddings,1984,Fantasy,4.17,69134,"Amazon Digital Services,  Inc."
220,Snow Falling on Cedars,David Guterson,1994,Historical Fiction,3.8,131945,"Amazon Digital Services,  Inc."
221,What Doesn't Kill You,"David Lagercrantz, Stieg Larsson, George Goulding",2015,Thriller,3.73,53751,Random House LLC
222,Every Day,David Levithan,2012,Young Adult,3.99,121863,"Amazon Digital Services,  Inc."
223,1776,David McCullough,2005,Historical Fiction,4.06,130293,Random House LLC
224,The Bone Clocks,David Mitchell,2014,Science Fiction,3.81,53151,Random House LLC
225,Holidays on Ice,David Sedaris,1997,Humor,3.95,82591,"Amazon Digital Services,  Inc."
226,When You Are Engulfed in Flames,David Sedaris,2008,Essays/Journalism,4.04,150898,Hachette Book Group
227,Lets Explore Diabetes with Owls,David Sedaris,2013,Essays/Journalism,3.8,81616,Macmillan
228,The Story of Edgar Sawtelle,David Wroblewski,2008,Literary Fiction,3.6,70382,"Amazon Digital Services,  Inc."
229,Watchers,Dean Koontz,1987,Horror,4.16,109595,"Amazon Digital Services,  Inc."
230,Intensity,Dean Koontz,1987,Thriller,4.04,58062,"Amazon Digital Services,  Inc."
231,Shadow of Night,Deborah Harkness,2012,Fantasy,4.04,97925,"Amazon Digital Services,  Inc."
232,The Book of Life,Deborah Harkness,2014,Fantasy,4.15,63027,"Amazon Digital Services,  Inc."
233,Mystic River,Dennis Lehane,2001,Crime,4.19,86103,Random House LLC
234,Shutter Island,Dennis Lehane,2003,Thriller,4.07,113718,Penguin Group (USA) LLC
235,Voyager,Diana Gabaldon,1993,Historical Fiction,4.38,157395,"Amazon Digital Services,  Inc."
236,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,1996,Historical Fiction,4.34,123736,"Amazon Digital Services,  Inc."
237,The Fiery Cross,Diana Gabaldon,2001,Historical Fiction,4.26,103552,Penguin Group (USA) LLC
238,A Breath of Snow and Ashes,Diana Gabaldon,2005,Fantasy,4.43,87098,Penguin Group (USA) LLC
239,An Echo in the Bone,Diana Gabaldon,2009,Historical Fiction,4.42,68854,Simon and Schuster Digital Sales Inc
240,Howl's Moving Castle,Diana Wynne Jones,1986,Fantasy,4.3,123945,"Amazon Digital Services,  Inc."
